birth_date,card_id,enrollment_end_date,enrollment_start_date,first_name,gender,last_name
1970-12-13,ID00032868314,2018-11-01,2018-05-01,Saul,M,Nguyen
1970-12-13,ID00032868314,2999-12-31,2019-08-01,Saul,M,Nguyen
1976-09-15,ID00039326267,2020-04-28,2020-06-01,Mina,F,Jones
1954-07-18,ID00065722935,2020-05-28,2018-05-01,Barbara,F,Webb
1967-09-17,ID00077400893,2020-07-28,2019-01-01,Carmen,F,Mcclendon
1953-02-12,ID00081368696,2999-12-31,2020-01-31,David,M,Rittenhouse
1972-07-17,ID00118584072,2999-12-31,2019-04-01,James,M,Pearson
1965-11-05,ID00210770118,2999-12-31,2019-07-01,David,M,Ackerman
1971-09-07,ID00216584514,2020-06-28,2019-08-01,Michael,M,Garner
1965-11-10,ID00265023758,2999-12-31,2020-02-01,Karyn,F,Brown
1968-05-16,ID00292120171,2999-12-31,2018-05-01,Eugene,M,Perkins
1971-03-09,ID00298089244,2018-12-01,2018-06-01,Kimberly,F,Hendricks
1971-03-09,ID00298089244,2020-03-28,2019-09-01,Kimberly,F,Hendricks
1970-10-30,ID00428069191,2999-12-31,2018-02-01,Bryan,M,Wilson
1977-04-11,ID00444777497,2020-05-28,2020-03-01,Kimberly,F,Warner
1960-08-04,ID00514889410,2020-01-28,2020-05-01,Ralph,M,Koch
1960-08-04,ID00514889410,2019-08-01,2019-02-01,Ralph,M,Koch
1967-03-07,ID00522571169,2999-12-31,2018-09-01,Cecilia,F,Harvey
1978-02-05,ID00541791651,2999-12-31,2020-01-01,Trudy,F,Marsh
1970-12-01,ID00587081671,2020-07-28,2020-09-01,Reggie,M,Anthony
1970-12-01,ID00587081671,2019-12-01,2019-06-01,Reggie,M,Anthony
1981-12-12,ID00588224163,2999-12-31,2020-08-01,Jenny,F,Mills
1983-07-04,ID00594612225,2020-02-28,2018-03-01,Otto,M,Bell
1989-03-23,ID00688799794,2999-12-31,2018-04-01,Karen,F,Lewis
1993-07-30,ID00778930067,2999-12-31,2020-04-01,Thanh,M,Borke
1993-07-30,ID00778930067,2019-07-01,2019-01-01,Thanh,M,Borke
1955-11-04,ID00779197039,2999-12-31,2019-07-01,Christy,F,Fowler
